Layer,Size,Dtype,Requires Grad
conv_fc.0.weight,"torch.Size([32, 1, 3, 3])",torch.float32,False
conv_fc.1.weight,torch.Size([32]),torch.float32,False
conv_fc.1.bias,torch.Size([32]),torch.float32,False
conv_fc.1.running_mean,torch.Size([32]),torch.float32,False
conv_fc.1.running_var,torch.Size([32]),torch.float32,False
conv_fc.1.num_batches_tracked,torch.Size([]),torch.int64,False
conv_fc.3.weight,"torch.Size([64, 32, 3, 3])",torch.float32,False
conv_fc.4.weight,torch.Size([64]),torch.float32,False
conv_fc.4.bias,torch.Size([64]),torch.float32,False
conv_fc.4.running_mean,torch.Size([64]),torch.float32,False
conv_fc.4.running_var,torch.Size([64]),torch.float32,False
conv_fc.4.num_batches_tracked,torch.Size([]),torch.int64,False
conv_fc.6.weight,"torch.Size([64, 64, 3, 3])",torch.float32,False
conv_fc.7.weight,torch.Size([64]),torch.float32,False
conv_fc.7.bias,torch.Size([64]),torch.float32,False
conv_fc.7.running_mean,torch.Size([64]),torch.float32,False
conv_fc.7.running_var,torch.Size([64]),torch.float32,False
conv_fc.7.num_batches_tracked,torch.Size([]),torch.int64,False
conv_fc.9.weight,"torch.Size([128, 64, 3, 3])",torch.float32,False
conv_fc.10.weight,torch.Size([128]),torch.float32,False
conv_fc.10.bias,torch.Size([128]),torch.float32,False
conv_fc.10.running_mean,torch.Size([128]),torch.float32,False
conv_fc.10.running_var,torch.Size([128]),torch.float32,False
conv_fc.10.num_batches_tracked,torch.Size([]),torch.int64,False
conv_fc.14.weight,"torch.Size([1024, 2048])",torch.float32,False
conv_fc.17.weight,"torch.Size([10, 1024])",torch.float32,False
