Layer,Size,Dtype,Requires Grad
conv_fc.0.weight,"torch.Size([32, 1, 5, 5])",torch.float32,False
conv_fc.1.weight,torch.Size([32]),torch.float32,False
conv_fc.1.bias,torch.Size([32]),torch.float32,False
conv_fc.1.running_mean,torch.Size([32]),torch.float32,False
conv_fc.1.running_var,torch.Size([32]),torch.float32,False
conv_fc.1.num_batches_tracked,torch.Size([]),torch.int64,False
conv_fc.3.weight,"torch.Size([32, 32, 4, 4])",torch.float32,False
conv_fc.4.weight,torch.Size([32]),torch.float32,False
conv_fc.4.bias,torch.Size([32]),torch.float32,False
conv_fc.4.running_mean,torch.Size([32]),torch.float32,False
conv_fc.4.running_var,torch.Size([32]),torch.float32,False
conv_fc.4.num_batches_tracked,torch.Size([]),torch.int64,False
conv_fc.6.weight,"torch.Size([48, 32, 3, 3])",torch.float32,False
conv_fc.7.weight,torch.Size([48]),torch.float32,False
conv_fc.7.bias,torch.Size([48]),torch.float32,False
conv_fc.7.running_mean,torch.Size([48]),torch.float32,False
conv_fc.7.running_var,torch.Size([48]),torch.float32,False
conv_fc.7.num_batches_tracked,torch.Size([]),torch.int64,False
conv_fc.9.weight,"torch.Size([32, 48, 3, 3])",torch.float32,False
conv_fc.10.weight,torch.Size([32]),torch.float32,False
conv_fc.10.bias,torch.Size([32]),torch.float32,False
conv_fc.10.running_mean,torch.Size([32]),torch.float32,False
conv_fc.10.running_var,torch.Size([32]),torch.float32,False
conv_fc.10.num_batches_tracked,torch.Size([]),torch.int64,False
conv_fc.12.weight,"torch.Size([32, 32, 3, 3])",torch.float32,False
conv_fc.13.weight,torch.Size([32]),torch.float32,False
conv_fc.13.bias,torch.Size([32]),torch.float32,False
conv_fc.13.running_mean,torch.Size([32]),torch.float32,False
conv_fc.13.running_var,torch.Size([32]),torch.float32,False
conv_fc.13.num_batches_tracked,torch.Size([]),torch.int64,False
conv_fc.16.weight,"torch.Size([512, 1152])",torch.float32,False
conv_fc.18.weight,"torch.Size([128, 512])",torch.float32,False
conv_fc.20.weight,"torch.Size([10, 128])",torch.float32,False
