index,label,pb_spike_sum,pb_pred,pb_correct,sj_spike_sum,sj_pred,sj_correct
0,4,[0 1 0 0 1 0 0 0 0 0],1,False,[0 0 0 1 3 0 0 0 0 0],4,True
1,3,[0 1 0 1 1 0 0 0 0 0],1,False,[0 2 0 2 0 0 0 0 0 0],1,False
2,5,[0 0 0 0 0 1 0 0 0 0],5,True,[0 0 0 0 0 3 0 0 0 0],5,True
3,9,[0 0 0 0 0 0 0 0 0 2],9,True,[0 0 1 0 0 0 0 0 0 2],9,True
4,6,[0 0 0 0 1 0 1 0 0 0],4,False,[0 0 0 1 1 0 1 0 0 0],3,False
5,2,[0 0 2 0 0 0 0 0 0 0],2,True,[0 0 2 0 1 0 1 0 0 0],2,True
6,5,[0 0 1 0 0 1 0 0 0 0],2,False,[0 0 0 0 0 3 0 0 0 0],5,True
7,0,[1 0 2 0 0 0 1 0 0 0],2,False,[2 0 0 0 0 0 1 0 0 0],0,True
8,2,[0 0 2 0 0 0 0 0 0 0],2,True,[0 0 2 0 0 0 0 0 0 0],2,True
9,8,[0 0 1 0 0 0 1 0 2 0],8,True,[0 0 0 0 0 0 0 0 3 0],8,True
10,1,[0 1 0 0 0 0 0 0 0 1],1,True,[0 3 0 0 0 0 0 0 0 0],1,True
11,0,[0 0 0 0 0 0 1 0 0 0],6,False,[2 0 0 0 0 0 1 0 0 0],0,True
12,7,[0 0 0 0 0 0 0 0 0 0],0,False,[0 0 0 0 0 0 0 3 0 0],7,True
13,1,[0 1 0 0 0 0 0 0 0 1],1,True,[0 4 0 0 0 0 0 0 0 0],1,True
14,5,[0 0 1 0 0 0 0 0 0 0],2,False,[0 0 0 0 0 3 0 0 0 0],5,True
15,1,[0 3 0 0 0 0 0 0 0 0],1,True,[0 4 0 0 0 0 0 0 0 0],1,True
16,4,[0 0 1 0 1 0 0 0 1 0],2,False,[0 0 1 0 3 0 1 0 0 0],4,True
17,7,[0 0 1 0 0 0 1 0 0 1],2,False,[0 0 0 0 0 0 0 3 0 0],7,True
18,4,[0 0 1 0 2 0 0 0 0 0],4,True,[0 0 1 0 2 0 0 0 0 0],4,True
19,9,[0 0 0 0 0 0 0 0 0 2],9,True,[0 0 0 0 0 0 0 0 0 3],9,True
20,9,[0 0 0 0 0 0 0 0 0 2],9,True,[0 0 0 0 0 0 0 0 0 3],9,True
21,0,[1 0 1 0 0 0 1 0 0 0],0,True,[3 0 0 0 0 0 0 0 0 0],0,True
22,7,[0 0 0 0 0 0 0 0 0 1],9,False,[0 0 0 0 0 0 0 2 0 3],9,False
23,9,[0 0 0 0 0 0 0 0 0 2],9,True,[0 0 0 0 0 0 0 0 0 3],9,True
24,6,[0 0 2 0 0 0 1 0 0 0],2,False,[0 0 1 0 1 0 2 0 0 0],6,True
25,2,[0 0 2 0 0 0 1 0 0 0],2,True,[0 0 2 0 0 0 1 0 0 0],2,True
26,6,[0 0 1 0 0 0 1 0 0 0],2,False,[0 0 2 0 0 0 2 0 0 0],2,False
27,2,[0 0 2 0 0 0 0 0 0 0],2,True,[0 0 2 0 0 0 0 0 0 0],2,True
28,3,[1 0 0 1 0 0 0 0 0 1],0,False,[0 0 0 3 0 0 0 0 0 0],3,True
29,2,[0 0 1 0 2 0 0 0 0 0],4,False,[0 0 1 0 2 0 1 0 0 0],4,False
30,1,[0 3 0 0 0 0 0 0 0 0],1,True,[0 4 0 0 0 0 0 0 0 0],1,True
31,0,[2 0 0 0 0 0 1 0 0 0],0,True,[3 0 0 0 0 0 0 0 0 0],0,True
32,7,[0 0 0 0 0 0 1 0 0 0],6,False,[0 0 0 0 0 0 0 3 0 0],7,True
33,5,[0 0 1 0 0 0 0 0 0 0],2,False,[0 0 0 0 0 3 0 0 0 0],5,True
34,7,[0 0 1 0 0 0 0 0 0 0],2,False,[0 0 0 0 0 0 0 3 0 0],7,True
35,2,[0 0 1 0 0 0 0 0 1 0],2,True,[0 0 1 0 1 0 2 0 0 0],6,False
36,3,[0 0 0 1 0 0 0 0 0 1],3,True,[0 0 0 3 0 0 0 0 0 0],3,True
37,2,[0 0 2 0 0 0 1 0 0 0],2,True,[0 0 2 0 0 0 2 0 0 0],2,True
38,6,[0 1 1 0 1 0 1 0 0 0],1,False,[0 0 1 0 1 0 2 0 0 0],6,True
39,5,[0 0 1 0 0 0 0 0 0 0],2,False,[0 0 0 0 0 3 0 0 0 0],5,True
40,8,[0 0 0 0 0 0 0 0 2 0],8,True,[0 0 0 0 0 0 0 0 3 0],8,True
41,8,[0 0 1 0 0 0 1 0 1 0],2,False,[1 0 1 0 0 0 1 0 1 0],0,False
42,1,[0 2 0 0 0 0 0 0 0 0],1,True,[0 4 0 0 0 0 0 0 0 0],1,True
43,3,[1 0 0 0 0 0 1 0 0 0],0,False,[0 0 0 3 0 0 0 0 0 0],3,True
44,5,[0 0 1 0 0 1 0 0 1 0],2,False,[0 0 0 0 0 3 0 0 0 0],5,True
45,8,[0 1 1 0 1 0 0 0 1 0],1,False,[0 0 0 0 0 0 0 0 3 0],8,True
46,0,[2 0 0 0 0 0 1 0 0 0],0,True,[3 0 0 0 0 0 0 0 0 0],0,True
47,9,[0 0 0 0 0 0 0 0 0 2],9,True,[0 0 0 0 0 0 0 1 0 3],9,True
48,7,[0 0 0 0 0 0 0 0 0 1],9,False,[0 0 0 0 0 0 0 2 0 1],7,True
49,9,[0 0 0 0 0 0 0 0 0 1],9,True,[0 0 0 0 0 0 0 2 1 3],9,True
50,5,[0 0 1 0 0 1 0 0 0 0],2,False,[0 0 0 0 0 3 0 0 0 0],5,True
51,8,[0 0 0 0 0 0 1 0 1 0],6,False,[0 0 0 0 0 0 0 1 2 0],8,True
52,9,[0 0 0 0 0 0 0 0 0 2],9,True,[0 0 0 0 0 1 0 0 0 3],9,True
53,7,[0 0 0 0 0 0 0 0 0 0],0,False,[0 0 0 0 0 1 0 4 0 0],7,True
54,1,[0 2 0 0 0 0 0 0 0 1],1,True,[0 4 0 1 0 0 0 0 0 0],1,True
