index,label,pb_spike_sum,pb_pred,pb_correct,sj_spike_sum,sj_pred,sj_correct
0,3,[0 0 0 3 0 0 0 0 0 0],3,True,[0 0 0 4 0 0 0 0 0 0],3,True
1,5,[3 0 1 0 0 0 0 0 0 0],0,False,[0 0 0 0 0 3 0 0 0 0],5,True
2,6,[0 0 0 0 1 0 4 0 0 0],6,True,[1 0 0 0 0 0 3 0 0 0],6,True
3,2,[0 0 4 0 4 0 0 0 0 0],2,True,[0 0 3 0 1 0 0 0 0 0],2,True
4,1,[0 3 0 0 0 0 0 0 0 0],1,True,[0 1 0 0 0 0 1 0 0 0],1,True
5,3,[0 0 0 4 0 0 0 0 0 0],3,True,[0 0 0 4 0 0 0 0 0 0],3,True
6,6,[0 0 0 0 4 0 4 0 0 0],4,False,[0 0 0 0 1 0 2 0 0 0],6,True
7,5,[3 0 0 0 0 0 0 0 1 0],0,False,[0 0 0 0 0 4 0 0 0 0],5,True
8,4,[0 0 0 0 4 0 4 0 0 0],4,True,[0 0 2 0 3 0 0 0 0 0],4,True
9,2,[0 0 4 0 0 0 4 0 0 0],2,True,[0 0 2 0 0 0 2 0 0 0],2,True
10,4,[0 0 0 0 2 0 4 0 1 0],6,False,[0 0 0 0 2 0 3 0 0 0],6,False
11,4,[0 0 0 0 0 0 4 0 0 0],6,False,[0 0 0 1 0 0 2 0 0 0],6,False
12,2,[2 0 1 0 0 0 1 0 1 0],0,False,[1 0 2 0 0 0 0 0 0 0],2,True
13,8,[0 0 0 0 0 0 0 0 4 0],8,True,[0 0 0 0 0 0 0 0 4 0],8,True
14,3,[0 0 0 3 0 0 0 0 0 0],3,True,[0 0 0 4 0 0 0 0 0 0],3,True
15,4,[0 0 0 0 2 0 4 0 0 0],6,False,[0 0 1 0 2 0 2 0 0 0],4,True
16,9,[0 0 0 0 0 0 0 0 0 3],9,True,[0 0 0 0 0 0 0 0 0 4],9,True
17,9,[0 0 0 0 0 0 1 0 1 4],9,True,[0 0 0 0 0 0 0 0 0 4],9,True
18,4,[0 0 0 0 4 0 3 0 0 0],4,True,[0 0 0 0 3 0 0 0 0 0],4,True
19,0,[3 0 0 0 0 0 0 0 0 0],0,True,[4 0 0 0 0 0 0 0 0 0],0,True
20,1,[0 3 0 0 0 0 0 0 0 2],1,True,[0 3 0 0 0 0 0 0 1 0],1,True
21,1,[0 4 0 0 1 0 0 0 0 0],1,True,[0 4 0 0 0 0 0 0 0 0],1,True
22,1,[0 3 0 0 1 0 1 0 0 3],1,True,[0 4 0 0 0 0 0 0 0 0],1,True
23,5,[0 0 1 0 0 0 0 0 0 0],2,False,[0 0 0 0 0 4 0 0 0 0],5,True
24,7,[4 0 0 0 0 0 0 2 0 0],0,False,[0 0 0 0 0 1 0 4 0 0],7,True
25,4,[0 0 4 0 0 0 4 0 0 0],2,False,[0 0 0 0 3 0 1 0 0 0],4,True
26,6,[4 0 3 0 0 0 3 0 0 0],0,False,[3 0 0 0 0 0 1 0 0 0],0,False
27,0,[4 0 1 0 0 0 0 0 0 0],0,True,[3 0 0 0 0 0 0 0 0 0],0,True
28,9,[0 0 0 0 0 0 1 0 0 4],9,True,[0 0 0 0 0 0 0 0 0 3],9,True
29,7,[4 0 0 0 0 0 0 0 0 0],0,False,[0 0 0 0 0 0 0 4 0 0],7,True
30,7,[0 0 0 0 0 0 0 0 0 0],0,False,[0 0 0 0 0 0 0 4 0 0],7,True
31,1,[0 4 0 0 0 0 0 0 0 0],1,True,[0 4 0 0 0 0 0 0 0 0],1,True
32,9,[0 0 0 0 0 0 0 0 1 4],9,True,[0 0 0 0 0 0 0 0 0 4],9,True
33,7,[4 0 0 0 0 0 0 4 0 0],0,False,[0 0 0 0 0 0 0 4 0 0],7,True
34,6,[0 0 0 0 0 0 4 0 1 0],6,True,[0 0 0 0 0 0 3 0 0 0],6,True
35,0,[3 0 0 0 3 0 2 0 0 0],0,True,[3 0 0 0 0 0 0 0 0 0],0,True
36,1,[0 3 0 0 0 0 0 0 0 0],1,True,[0 4 0 0 0 0 0 0 0 0],1,True
37,9,[0 0 0 0 0 0 0 0 1 3],9,True,[0 0 0 0 0 0 0 1 0 4],9,True
38,2,[0 0 1 0 0 0 4 0 0 0],6,False,[0 0 3 0 0 0 1 0 0 0],2,True
