index,label,pb_spike_sum,pb_pred,pb_correct,sj_spike_sum,sj_pred,sj_correct
0,0,[0 0 0 0 0 0 0 0 0 0 0],0,True,[0 0 0 0 0 0 0 0 0 0 0],0,True
1,0,[13  0  0  0  0  0  0  0  0  0  0],0,True,[13  0  0  0  0  0  0  0  0  0  0],0,True
2,0,[0 0 0 0 0 0 0 0 0 0 0],0,True,[0 0 0 0 0 0 0 0 0 0 0],0,True
3,0,[0 0 0 0 0 0 0 0 0 0 0],0,True,[0 0 0 0 0 0 0 0 0 0 0],0,True
4,0,[ 0  0  0  0  0  0  0  0  0 11  0],9,False,[ 0  0  0  0  0  0  0  0  0 11  0],9,False
5,0,[ 0  0  0  0  0  0  0  0 10  0  0],8,False,[ 0  0  0  0  0  0  0  0 10  0  0],8,False
6,0,[20  0  0  0  0  0  0  0  0  0  0],0,True,[20  0  0  0  0  0  0  0  0  0  0],0,True
7,0,[ 0  0  0  0  0  0  0  0 20  1  0],8,False,[ 0  0  0  0  0  0  0  0 20  1  0],8,False
8,0,[11  0  0  0  0  0  0  0  0  0  0],0,True,[11  0  0  0  0  0  0  0  0  0  0],0,True
9,0,[10  0  0  0  0  0  0  0  0  0  0],0,True,[10  0  0  0  0  0  0  0  0  0  0],0,True
10,0,[12  0  0  0  0  0  0  0  0  0  0],0,True,[12  0  0  0  0  0  0  0  0  0  0],0,True
11,0,[20  0  0  0  0  0  0  0  0  0  0],0,True,[20  0  0  0  0  0  0  0  0  0  0],0,True
12,0,[19  0  0  0  0  0  0  0  0  0  0],0,True,[19  0  0  0  0  0  0  0  0  0  0],0,True
13,0,[10  0  0  0  0  0  0  0  0  0  0],0,True,[10  0  0  0  0  0  0  0  0  0  0],0,True
14,0,[20  0  0  0  0  0  0  0  0  0  0],0,True,[20  0  0  0  0  0  0  0  0  0  0],0,True
15,0,[10  0  0  0  0  0  0  0  0  0  0],0,True,[10  0  0  0  0  0  0  0  0  0  0],0,True
16,0,[0 0 0 0 0 0 0 0 0 0 0],0,True,[0 0 0 0 0 0 0 0 0 0 0],0,True
17,0,[10  0  0  0  0  0  0  0  0  0  0],0,True,[10  0  0  0  0  0  0  0  0  0  0],0,True
18,0,[0 0 0 0 0 0 0 0 0 0 0],0,True,[0 0 0 0 0 0 0 0 0 0 0],0,True
19,0,[10  0  0  0  0  0  0  0  0  0  0],0,True,[10  0  0  0  0  0  0  0  0  0  0],0,True
20,0,[20  0  0  0  0  0  0  0  0  0  0],0,True,[20  0  0  0  0  0  0  0  0  0  0],0,True
21,0,[20  0  0  0  0  0  0  0  0  0  0],0,True,[20  0  0  0  0  0  0  0  0  0  0],0,True
22,0,[0 0 0 0 0 0 0 0 0 0 0],0,True,[0 0 0 0 0 0 0 0 0 0 0],0,True
23,0,[28  0  0  0  0  0  0  0  0  0  0],0,True,[28  0  0  0  0  0  0  0  0  0  0],0,True
24,1,[0 8 0 0 0 0 0 0 0 0 0],1,True,[0 8 0 0 0 0 0 0 0 0 0],1,True
25,1,[ 0 10  0  0  0  0  0  0  0  0  0],1,True,[ 0 10  0  0  0  0  0  0  0  0  0],1,True
26,1,[ 0 10  0  0  0  0  0  0  0  0  0],1,True,[ 0 10  0  0  0  0  0  0  0  0  0],1,True
27,1,[ 0 14  0  0  0  0  0  0  0  0  0],1,True,[ 0 14  0  0  0  0  0  0  0  0  0],1,True
28,1,[ 0 11  0  0  0  0  0  0  0  0  0],1,True,[ 0 11  0  0  0  0  0  0  0  0  0],1,True
29,1,[ 0 20  0  0  0  0  0  0  0  0  0],1,True,[ 0 20  0  0  0  0  0  0  0  0  0],1,True
30,1,[ 0 13  0  0  0  0  0  0  0  0  0],1,True,[ 0 13  0  0  0  0  0  0  0  0  0],1,True
31,1,[ 0 18  0  0  0  0  0  0  0  0  0],1,True,[ 0 18  0  0  0  0  0  0  0  0  0],1,True
32,1,[ 0 20  0  0  0  0  0  0  0  0  0],1,True,[ 0 20  0  0  0  0  0  0  0  0  0],1,True
33,1,[0 0 0 0 0 0 0 0 0 0 0],0,False,[0 0 0 0 0 0 0 0 0 0 0],0,False
34,1,[ 0 10  0  0  0  0  0  0  0  0  0],1,True,[ 0 10  0  0  0  0  0  0  0  0  0],1,True
35,1,[0 8 0 0 0 0 0 0 0 0 0],1,True,[0 8 0 0 0 0 0 0 0 0 0],1,True
36,1,[ 0 10  0  0  0  0  0  0  0  0  0],1,True,[ 0 10  0  0  0  0  0  0  0  0  0],1,True
37,1,[ 0 14  0  0  0  0  0  0  0  0  0],1,True,[ 0 14  0  0  0  0  0  0  0  0  0],1,True
38,1,[ 0 20  0  0  0  0  0  0  0  0  0],1,True,[ 0 20  0  0  0  0  0  0  0  0  0],1,True
39,1,[ 0 27  0  0  0  0  0  0  0  0  0],1,True,[ 0 27  0  0  0  0  0  0  0  0  0],1,True
40,1,[ 0 20  0  0  0  0  0  0  0  0  0],1,True,[ 0 20  0  0  0  0  0  0  0  0  0],1,True
41,1,[ 0 20  0  0  0  0  0  0  0  0  0],1,True,[ 0 20  0  0  0  0  0  0  0  0  0],1,True
42,1,[ 0 27  0  0  0  0  0  0  0  0  0],1,True,[ 0 27  0  0  0  0  0  0  0  0  0],1,True
43,1,[ 0 20  0  0  0  0  0  0  0  0  0],1,True,[ 0 20  0  0  0  0  0  0  0  0  0],1,True
