timestamp,x,y,polarity
1675000,95,106,0
1675000,146,94,1
1675000,127,207,1
1675000,46,108,0
1675001,145,99,1
1675001,94,170,0
1675001,119,58,0
1675001,40,127,0
1675002,31,128,0
1675002,70,100,0
1675003,24,142,0
1675003,131,92,0
1675004,104,142,0
1675004,61,179,0
1675004,127,83,0
1675004,333,21,0
1675005,68,124,1
1675005,325,9,0
1675006,82,112,1
1675006,82,143,1
1675006,131,122,1
1675006,75,107,0
1675006,337,22,0
1675007,138,145,1
1675007,134,121,1
1675007,129,185,1
1675007,67,103,0
1675008,170,80,1
1675008,174,162,1
1675009,39,113,0
1675009,120,84,0
1675009,62,123,1
1675010,105,137,0
1675010,58,103,0
1675010,148,194,1
1675010,110,122,0
1675011,35,135,0
1675011,340,15,0
1675011,145,93,1
1675011,70,120,1
1675012,336,19,0
1675012,181,69,1
1675012,125,73,0
1675012,125,207,1
1675012,26,142,0
1675013,321,4,0
1675013,142,165,1
1675013,93,164,0
1675013,116,174,1
1675014,51,168,1
1675014,54,154,1
1675014,35,121,0
1675014,35,166,0
1675014,41,120,0
1675015,246,155,1
1675015,329,16,0
1675015,55,111,0
1675015,55,134,1
1675016,32,173,0
1675016,126,97,0
1675016,49,106,0
1675016,132,131,1
1675016,336,15,0
1675017,127,204,1
1675017,149,83,1
1675017,34,125,0
1675017,52,171,1
1675018,154,171,1
1675018,66,178,1
1675018,49,102,0
1675019,123,151,1
1675019,55,178,0
1675019,57,103,0
1675020,30,119,0
1675020,25,163,0
1675021,129,85,0
1675021,125,156,1
1675021,124,162,1
1675022,72,104,0
1675022,101,136,0
1675022,105,136,0
1675023,113,111,0
1675023,28,147,0
1675023,140,143,1
1675023,75,104,0
1675023,37,111,0
1675024,123,106,0
1675024,34,163,0
1675024,341,14,0
1675024,65,144,1
1675025,24,165,0
1675025,118,186,1
1675025,141,105,1
1675025,85,181,0
1675026,158,109,1
1675026,150,120,1
1675026,343,19,0
1675026,98,180,0
1675027,208,71,1
1675027,48,110,0
1675027,27,130,0
1675027,53,111,0
1675028,111,139,0
1675028,145,114,1
1675028,112,122,0
1675028,112,142,0
1675028,121,59,0
1675029,345,1,1
1675029,147,97,1
1675029,119,201,1
1675029,145,66,1
1675030,132,146,1
1675030,86,116,1
1675030,144,93,1
1675030,103,109,0
1675031,122,93,0
1675031,56,131,1
1675031,336,10,0
1675031,129,77,0
1675032,57,128,1
1675032,145,124,1
1675033,125,151,1
1675033,32,128,0
1675033,33,165,0
1675033,51,119,0
1675034,55,164,1
1675034,121,80,0
1675034,138,168,1
1675034,133,126,1
1675035,112,131,0
1675035,97,162,0
1675035,92,166,0
1675035,327,18,0
1675036,148,121,1
1675036,108,153,0
1675036,71,149,1
1675036,25,138,0
1675037,128,174,1
1675037,135,205,1
1675037,129,135,1
1675037,112,113,0
1675037,57,173,1
1675038,54,139,1
1675038,159,81,1
1675038,167,76,1
1675038,184,103,1
1675039,132,74,0
1675039,142,90,1
1675039,93,186,0
1675039,100,120,1
1675040,99,177,0
1675040,39,124,0
1675040,34,170,0
1675040,46,109,0
1675041,45,177,0
1675041,44,115,0
1675041,56,106,0
1675041,80,123,1
1675042,137,123,1
1675042,145,194,1
1675042,139,77,0
1675042,111,158,0
1675043,110,57,0
1675043,121,85,0
1675043,121,206,1
1675043,37,138,0
1675043,36,114,0
1675044,56,111,0
1675044,62,137,1
1675044,68,158,1
1675044,69,167,1
1675045,86,198,1
1675045,165,91,1
1675045,130,159,1
1675045,125,204,1
1675046,146,91,1
1675046,93,110,0
1675046,94,176,0
1675046,112,144,0
1675046,120,91,0
1675047,119,179,1
1675047,45,113,0
1675047,33,148,0
1675047,327,6,0
1675048,345,22,0
1675048,123,185,1
1675048,126,200,1
1675048,148,116,1
1675049,62,102,0
1675049,25,139,0
1675049,129,63,0
1675049,116,184,1
1675050,120,69,0
1675050,182,84,1
1675050,61,164,1
1675050,115,125,0
1675051,331,13,0
1675051,112,132,0
1675051,29,138,0
1675051,144,126,1
1675052,135,85,0
1675052,99,112,0
1675052,117,180,1
1675052,120,96,0
1675053,323,13,0
1675053,111,132,0
1675053,44,151,1
1675054,162,74,1
1675054,145,201,1
1675054,64,177,1
1675055,141,149,1
1675055,96,179,0
1675055,113,62,0
1675055,106,139,0
1675056,50,146,1
1675056,35,156,0
1675056,23,146,0
1675056,328,15,0
1675057,343,21,0
1675057,149,128,1
1675057,128,134,1
1675057,25,156,0
1675057,25,159,0
1675058,21,141,0
1675058,56,100,0
1675058,45,105,0
1675058,104,156,0
1675059,176,76,1
1675059,32,145,0
1675059,47,163,1
1675060,131,123,1
1675060,105,134,0
1675060,33,174,0
1675060,82,121,1
1675061,58,158,1
1675061,148,81,1
1675061,134,136,1
1675061,123,94,0
1675061,97,119,1
1675061,97,166,0
1675062,336,7,0
1675062,37,168,0
1675062,65,183,0
1675063,187,169,1
1675063,98,179,0
1675063,137,125,1
1675063,71,135,1
1675064,317,9,0
1675064,342,21,0
1675064,106,122,0
1675064,114,107,0
1675064,119,192,1
1675065,89,115,1
1675065,67,101,0
1675065,62,152,1
1675065,33,158,0
1675066,153,67,1
1675066,146,93,1
1675066,132,124,1
1675066,110,136,0
1675067,118,201,1
1675067,93,172,0
1675067,91,182,0
1675067,94,163,0
1675068,103,135,0
1675068,40,111,0
1675068,332,8,0
1675068,141,118,1
1675069,140,117,1
1675069,133,91,0
1675069,131,81,0
1675069,99,172,0
1675070,128,206,1
1675070,62,103,0
1675070,69,98,0
1675071,34,132,0
1675071,110,155,0
1675071,231,131,1
1675071,29,125,0
1675072,70,105,0
1675072,74,101,0
1675072,79,109,0
1675072,345,13,0
1675073,90,164,0
1675073,107,140,0
1675073,113,186,1
1675074,66,127,1
1675074,24,131,0
1675074,123,200,1
1675074,130,141,1
1675075,27,136,0
1675075,62,144,1
1675075,84,116,1
1675075,119,202,1
1675076,145,173,1
1675076,334,16,0
1675076,81,126,1
1675076,79,187,0
1675077,77,188,0
1675077,73,116,1
1675077,69,123,1
1675077,63,126,1
1675078,56,109,0
1675078,52,174,0
1675078,28,125,0
1675078,28,160,0
1675078,28,161,0
1675078,118,128,0
1675079,112,194,1
1675079,103,136,0
1675079,100,149,0
1675079,92,162,0
1675080,137,139,1
1675080,122,83,0
1675080,127,88,0
1675080,72,183,0
1675081,59,129,1
1675081,23,159,0
1675081,117,196,1
1675081,126,71,0
1675081,126,142,1
1675082,135,122,1
1675082,136,135,1
1675082,44,116,0
1675082,118,89,0
1675083,120,85,0
1675083,46,106,0
1675083,149,151,1
1675083,114,64,0
1675084,95,164,0
1675084,41,122,0
1675084,27,155,0
1675084,75,112,1
1675085,150,170,1
1675085,111,56,0
1675085,102,108,0
1675085,177,138,1
1675086,138,117,1
1675086,105,55,0
1675086,116,108,0
1675086,121,107,0
1675087,21,158,0
1675087,40,118,0
1675087,30,146,0
1675087,60,165,1
1675088,130,81,0
1675088,119,91,0
1675088,113,133,0
1675088,113,146,0
1675088,91,174,0
1675089,341,13,0
1675089,126,90,0
1675089,117,91,0
1675089,115,108,0
1675090,26,164,0
1675090,22,139,0
1675090,136,115,1
1675090,25,145,0
1675091,113,124,0
1675091,118,107,0
1675091,116,110,0
1675091,21,139,0
1675092,35,169,0
1675092,76,127,1
1675092,101,143,0
1675092,92,173,0
1675092,160,141,1
1675093,20,151,0
1675093,318,1,0
1675093,329,12,0
1675093,329,18,0
1675094,113,135,0
1675094,108,141,0
1675094,137,109,1
1675095,132,149,1
1675095,152,207,1
1675095,62,148,1
1675095,83,101,0
1675095,50,106,0
1675096,43,123,0
1675096,169,77,1
1675096,118,182,1
1675096,111,58,0
1675097,104,145,0
1675097,330,4,0
1675097,66,159,1
1675097,59,147,1
1675098,151,202,1
1675099,325,15,0
1675099,101,170,0
1675099,83,184,0
1675099,112,143,0
1675100,45,107,0
1675100,95,107,0
1675100,32,131,0
1675101,123,197,1
1675101,122,85,0
1675101,120,197,1
1675101,115,104,0
1675102,156,88,1
1675102,31,139,0
1675102,24,132,0
1675102,121,168,1
1675103,131,126,1
1675103,124,91,0
1675103,58,101,0
1675103,43,108,0
1675104,52,169,1
1675104,27,167,0
1675104,95,174,0
1675104,93,184,0
1675105,118,114,0
1675105,137,203,1
1675105,148,110,1
1675105,150,68,1
1675105,33,136,0
1675106,55,155,1
1675106,109,154,0
1675106,104,143,0
1675106,98,172,0
1675107,94,159,0
1675107,95,113,0
1675107,323,10,0
1675107,317,0,0
1675108,48,105,0
1675108,48,115,0
1675108,39,130,0
1675108,61,124,1
1675108,84,177,0
1675109,125,90,0
1675109,135,198,1
1675109,131,76,0
1675109,121,84,0
1675110,116,103,0
1675110,114,105,0
1675110,110,190,1
1675110,97,154,0
1675111,96,180,0
1675111,100,154,0
1675111,45,174,0
1675111,53,103,0
1675112,35,116,0
1675112,35,137,0
1675112,35,171,0
1675112,37,124,0
1675112,32,153,0
1675113,27,158,0
1675113,81,158,1
1675113,134,179,1
1675113,142,123,1
1675114,141,161,1
1675114,112,150,0
1675114,119,105,0
1675114,91,170,0
1675114,92,180,0
1675115,93,167,0
1675115,98,152,0
1675115,105,148,0
1675115,103,164,0
1675116,327,11,0
1675116,21,154,0
1675116,67,184,0
1675116,68,190,0
1675117,62,104,0
1675117,87,190,0
1675117,46,113,0
1675117,51,157,1
1675118,149,203,1
1675118,122,102,0
1675118,123,77,0
1675118,137,207,1
1675119,113,139,0
1675119,113,142,0
1675119,115,110,0
1675119,117,106,0
1675119,117,195,1
1675120,22,149,0
1675120,29,143,0
1675120,35,174,0
1675120,57,104,0
1675121,55,107,0
1675121,52,110,0
1675121,43,105,0
1675121,79,102,0
1675122,163,126,1
1675122,166,75,1
1675122,138,127,1
1675122,138,128,1
1675123,151,88,1
1675123,152,121,1
1675123,148,107,1
1675123,132,193,1
1675123,131,138,1
1675124,130,133,1
1675124,110,127,0
1675124,113,63,0
1675124,106,55,0
1675125,108,59,0
1675125,93,151,0
1675125,93,166,0
1675125,95,119,1
1675126,96,151,0
1675126,105,142,0
1675126,344,21,0
1675126,31,137,0
1675126,31,147,0
1675127,36,121,0
1675127,36,123,0
1675127,36,136,0
1675127,36,163,0
1675127,38,177,0
1675127,57,182,0
1675128,71,144,1
1675128,72,115,1
1675128,74,184,0
1675129,125,170,1
1675129,135,124,1
1675129,136,117,1
1675129,150,165,1
1675130,121,167,1
1675130,113,144,0
1675130,95,163,0
1675130,95,189,0
1675130,103,58,0
1675131,98,182,0
1675131,256,111,1
1675131,325,10,0
1675131,327,8,0
1675132,53,159,1
1675132,118,94,0
1675132,110,129,0
1675132,124,72,0
1675133,122,79,0
1675133,154,85,1
1675133,89,177,0
1675133,331,17,0
1675134,137,208,1
1675134,59,174,1
1675134,104,55,0
1675134,130,125,1
1675135,120,100,0
1675135,172,149,1
1675135,123,148,1
1675135,134,173,1
1675135,38,119,0
1675136,115,103,0
1675136,23,158,0
1675136,131,200,1
1675136,68,133,1
1675137,221,70,0
1675137,147,87,1
1675137,37,160,0
1675137,24,153,0
1675138,160,107,1
1675138,54,164,1
1675138,107,119,0
