index,label,pb_spike_sum,pb_pred,pb_correct,sj_spike_sum,sj_pred,sj_correct
0,0,[ 1  0  0  0 38],4,False,[ 1  0  0  0 38],4,False
1,0,[29  0  0  0 11],0,True,[29  0  0  0 11],0,True
2,0,[38  0  0  0  1],0,True,[38  0  0  0  1],0,True
3,0,[40  0  0  0  0],0,True,[40  0  0  0  0],0,True
4,0,[40  0  0  0  0],0,True,[40  0  0  0  0],0,True
5,0,[40  0  0  0  0],0,True,[40  0  0  0  0],0,True
6,0,[40  0  0  0  0],0,True,[40  0  0  0  0],0,True
7,0,[40  0  0  0  0],0,True,[40  0  0  0  0],0,True
8,0,[40  0  0  0  0],0,True,[40  0  0  0  0],0,True
9,0,[40  0  0  0  0],0,True,[40  0  0  0  0],0,True
10,0,[40  0  0  0  0],0,True,[40  0  0  0  0],0,True
11,0,[39  0  0  0  1],0,True,[39  0  0  0  1],0,True
12,0,[ 3  0  0  0 38],4,False,[ 3  0  0  0 38],4,False
13,0,[22  0  0  0 27],4,False,[22  0  0  0 27],4,False
14,0,[36  0  0  0  5],0,True,[36  0  0  0  5],0,True
15,0,[39  0  0  0  0],0,True,[39  0  0  0  0],0,True
16,0,[40  0  0  0  0],0,True,[40  0  0  0  0],0,True
17,0,[40  0  0  0  0],0,True,[40  0  0  0  0],0,True
18,0,[40  0  0  0  0],0,True,[40  0  0  0  0],0,True
19,0,[40  0  0  0  0],0,True,[40  0  0  0  0],0,True
20,0,[40  0  0  0  0],0,True,[40  0  0  0  0],0,True
21,0,[40  0  0  0  0],0,True,[40  0  0  0  0],0,True
22,0,[40  0  0  0  0],0,True,[40  0  0  0  0],0,True
23,0,[39  0  0  0  0],0,True,[39  0  0  0  0],0,True
24,0,[38  0  0  0  2],0,True,[38  0  0  0  2],0,True
25,0,[14  0  0  0 27],4,False,[14  0  0  0 27],4,False
26,0,[ 2  0  0  0 35],4,False,[ 2  0  0  0 35],4,False
27,0,[27  0  0  0 22],0,True,[27  0  0  0 22],0,True
28,0,[38  0  0  0  4],0,True,[38  0  0  0  4],0,True
29,0,[39  0  0  0  0],0,True,[39  0  0  0  0],0,True
30,0,[40  0  0  0  0],0,True,[40  0  0  0  0],0,True
31,0,[40  0  0  0  0],0,True,[40  0  0  0  0],0,True
32,0,[40  0  0  0  0],0,True,[40  0  0  0  0],0,True
33,0,[40  0  0  0  0],0,True,[40  0  0  0  0],0,True
34,0,[40  0  0  0  0],0,True,[40  0  0  0  0],0,True
35,0,[40  0  0  0  0],0,True,[40  0  0  0  0],0,True
36,0,[40  0  0  0  0],0,True,[40  0  0  0  0],0,True
37,0,[40  0  0  0  0],0,True,[40  0  0  0  0],0,True
38,0,[38  0  0  0  2],0,True,[38  0  0  0  2],0,True
39,0,[ 1  0  0  0 38],4,False,[ 1  0  0  0 38],4,False
40,0,[11  0  0  0 30],4,False,[11  0  0  0 30],4,False
41,0,[28  0  0  0 17],0,True,[28  0  0  0 17],0,True
42,0,[38  0  0  0  1],0,True,[38  0  0  0  1],0,True
43,0,[40  0  0  0  0],0,True,[40  0  0  0  0],0,True
44,0,[40  0  0  0  0],0,True,[40  0  0  0  0],0,True
45,0,[40  0  0  0  0],0,True,[40  0  0  0  0],0,True
46,0,[40  0  0  0  0],0,True,[40  0  0  0  0],0,True
47,0,[40  0  0  0  0],0,True,[40  0  0  0  0],0,True
48,0,[40  0  0  0  0],0,True,[40  0  0  0  0],0,True
49,0,[40  0  0  0  0],0,True,[40  0  0  0  0],0,True
50,0,[40  0  0  0  0],0,True,[40  0  0  0  0],0,True
51,0,[38  0  0  0  0],0,True,[38  0  0  0  0],0,True
52,0,[38  0  0  0  2],0,True,[38  0  0  0  2],0,True
53,0,[ 9  0  0  0 33],4,False,[ 9  0  0  0 33],4,False
54,0,[38  0  0  0  0],0,True,[38  0  0  0  0],0,True
55,0,[40  0  0  0  0],0,True,[40  0  0  0  0],0,True
56,0,[40  0  0  0  0],0,True,[40  0  0  0  0],0,True
57,0,[40  0  0  0  0],0,True,[40  0  0  0  0],0,True
58,0,[40  0  0  0  0],0,True,[40  0  0  0  0],0,True
59,0,[40  0  0  0  0],0,True,[40  0  0  0  0],0,True
60,0,[40  0  0  0  0],0,True,[40  0  0  0  0],0,True
61,0,[40  0  0  0  0],0,True,[40  0  0  0  0],0,True
62,0,[40  0  0  0  0],0,True,[40  0  0  0  0],0,True
63,0,[38  0  0  0  1],0,True,[38  0  0  0  1],0,True
64,0,[33  0  0  0 11],0,True,[33  0  0  0 11],0,True
65,0,[ 6  0  0  0 36],4,False,[ 6  0  0  0 36],4,False
66,0,[18  0  0  0 25],4,False,[18  0  0  0 25],4,False
67,0,[38  0  0  0  3],0,True,[38  0  0  0  3],0,True
68,0,[40  0  0  0  0],0,True,[40  0  0  0  0],0,True
69,0,[40  0  0  0  0],0,True,[40  0  0  0  0],0,True
70,0,[40  0  0  0  0],0,True,[40  0  0  0  0],0,True
71,0,[40  0  0  0  0],0,True,[40  0  0  0  0],0,True
72,0,[40  0  0  0  0],0,True,[40  0  0  0  0],0,True
73,0,[40  0  0  0  0],0,True,[40  0  0  0  0],0,True
74,0,[40  0  0  0  0],0,True,[40  0  0  0  0],0,True
75,0,[40  0  0  0  0],0,True,[40  0  0  0  0],0,True
76,0,[40  0  0  0  0],0,True,[40  0  0  0  0],0,True
77,0,[38  0  0  0  1],0,True,[38  0  0  0  1],0,True
78,0,[26  0  0  0 21],0,True,[26  0  0  0 21],0,True
79,0,[38  0  0  0  1],0,True,[38  0  0  0  1],0,True
80,0,[39  0  0  0  0],0,True,[39  0  0  0  0],0,True
81,0,[40  0  0  0  0],0,True,[40  0  0  0  0],0,True
82,0,[40  0  0  0  0],0,True,[40  0  0  0  0],0,True
83,0,[40  0  0  0  0],0,True,[40  0  0  0  0],0,True
84,0,[40  0  0  0  0],0,True,[40  0  0  0  0],0,True
85,0,[40  0  0  0  0],0,True,[40  0  0  0  0],0,True
86,0,[40  0  0  0  0],0,True,[40  0  0  0  0],0,True
87,0,[40  0  0  0  0],0,True,[40  0  0  0  0],0,True
88,0,[40  0  0  0  0],0,True,[40  0  0  0  0],0,True
89,0,[38  0  0  0  2],0,True,[38  0  0  0  2],0,True
90,0,[11  0  0  0 29],4,False,[11  0  0  0 29],4,False
91,0,[ 1  0  0  0 39],4,False,[ 1  0  0  0 39],4,False
92,0,[ 0  0  0  0 40],4,False,[ 0  0  0  0 40],4,False
93,0,[ 0  0  0  0 40],4,False,[ 0  0  0  0 40],4,False
94,0,[38  0  0  0  2],0,True,[38  0  0  0  2],0,True
95,0,[39  0  0  0  0],0,True,[39  0  0  0  0],0,True
96,0,[40  0  0  0  0],0,True,[40  0  0  0  0],0,True
97,0,[40  0  0  0  0],0,True,[40  0  0  0  0],0,True
98,0,[40  0  0  0  0],0,True,[40  0  0  0  0],0,True
99,0,[40  0  0  0  0],0,True,[40  0  0  0  0],0,True
